arm,step,ratio,lambda_task,lambda_next,lambda_goal,EMA_A,EMA_B,cap_hit,FM_gradient,task_gradient,weighted_task_gradient,cosine,total_gradient,update_norm
B0-fixed,20,0.5640002015557837,1.1338064670562744,1.1338064670562744,2.8365026373523805,1.4624927341938019,0.5155971705913543,False,1.119401454925537,0.5568345785140991,0.6313426461998404,0.06304333359003067,1.3193793296813965,0.015066350810229778
B0-fixed,40,0.315517305535254,1.1338064670562744,1.1338064670562744,2.9136333729325514,1.5054266721010208,0.5166836315393448,False,1.8918321132659912,0.5264617800712585,0.596905770902751,-0.0025491127744317055,1.982313871383667,0.013662266544997692
B0-fixed,60,0.4366647838352331,1.1338064670562744,1.1338064670562744,2.8832902958380178,1.482638204395771,0.5142174572348595,False,1.277541995048523,0.4920218884944916,0.5578575991082957,0.26230064034461975,1.522233486175537,0.013895994983613491
B0-fixed,80,0.31622780137199497,1.1338064670562744,1.1338064670562744,2.9437992001869713,1.4908603945076466,0.5064409265458584,False,1.5648601055145264,0.43645215034484863,0.49485227062160675,0.03671485558152199,1.6584713459014893,0.015020327642560005
B0-fixed,100,0.12719280217963705,1.1338064670562744,1.1338064670562744,3.411477798039064,1.687098775985837,0.49453605617940427,False,3.453244209289551,0.38739222288131714,0.439227807590143,0.05584580451250076,3.5053136348724365,0.017530880868434906
B0-fixed,120,0.3935441249989502,1.1338064670562744,1.1338064670562744,3.351098981367379,1.683089418425858,0.5022499865817428,False,1.6470052003860474,0.5716753602027893,0.6481692204546476,0.3725348711013794,1.981953501701355,0.014525522477924824
B0-fixed,140,0.6627152467656502,1.1338064670562744,1.1338064670562744,3.146979432763899,1.6246976285112202,0.5162720835084379,False,1.09917151927948,0.6424709558486938,0.7284377246370752,-0.11507206410169601,1.2468072175979614,0.014031662605702877
B0-fixed,160,0.5015472573115247,1.1338064670562744,1.1338064670562744,3.055128464921108,1.5836595501541169,0.5183610340244764,False,1.2143168449401855,0.5371615886688232,0.6090372830869342,-0.08867119252681732,1.3093266487121582,0.014356858097016811
B0-fixed,180,0.45583811182354755,1.1338064670562744,1.1338064670562744,2.992661674748265,1.5687271183168057,0.5241912681121106,False,1.4343352317810059,0.5766633749008179,0.6538246637770442,0.2591818571090698,1.7236378192901611,0.01596735790371895
B0-fixed,200,0.5049445596123924,1.1338064670562744,1.1338064670562744,2.9088938612610615,1.5455979787202325,0.531335295283062,False,1.3374357223510742,0.5956315398216248,0.675330891832445,0.14053387939929962,1.5807182788848877,0.016733283177018166
B0-fixed,220,0.48056492404418505,1.1338064670562744,1.1338064670562744,2.84747331011423,1.5329947724543493,0.5383701989441478,False,1.4195659160614014,0.6016843318939209,0.6821935866277613,0.22105726599693298,1.7054933309555054,0.013643614016473293
B0-fixed,240,0.2557804660689543,1.1338064670562744,1.1338064670562744,3.020297961383586,1.642499517315848,0.543820357566121,False,2.628042221069336,0.5928717851638794,0.6722018641540046,-0.22658680379390717,2.5608386993408203,0.015364661812782288
B0-fixed,260,0.24856230228820553,1.1338064670562744,1.1338064670562744,3.154135136588073,1.690566531641087,0.5359841790005947,False,2.1231696605682373,0.46545857191085815,0.5277399389793089,0.0553402379155159,2.2159366607666016,0.013415088877081871
B0-fixed,280,0.4854169223869339,1.1338064670562744,1.1338064670562744,3.046043697536556,1.6929703996981391,0.5557932084386394,False,1.7146052122116089,0.7340744733810425,0.8322983852203549,-0.0424015149474144,1.873918890953064,0.014415482059121132
