id,relative,gain_db,original_rms,processed_rms,original_vad_speech_s,new_vad_speech_s,original_windows,new_windows
rec_01043e7ad8132347,session6/Camera-2024-07-10-150927-150804,36.02416874962411,0.00021968522923998535,0.01389982458204031,0,0.0,0,0
rec_016bc6456c3bb312,session6/Camera-2024-10-22-173423-173423,24.997747883302388,0.00013429841783363372,0.0023875816259533167,0,0.0,0,0
rec_01cef46aec688a85,session6/Camera-2024-06-28-164549-164628,40.52611839788913,2.6666564735933207e-05,0.002833172446116805,0,0.0,0,0
rec_03dd5af66e9cf3ef,session6/Camera-2024-07-11-120318-120232,28.093661401323388,0.00014513889618683606,0.0036852494813501835,0,0.0,0,0
rec_04834594af398e75,session6/Camera-2024-07-19-151039-150947,29.106975793204477,0.000444886478362605,0.012693985365331173,0,0.0,0,0
rec_06e8ed1ba86cc05e,session6/Camera-2024-07-22-111042-111140,21.451155392456016,0.0002651645918376744,0.0031338143162429333,0,0.0,0,0
rec_0a0af42483a3954f,session6/Camera-2024-07-31-152258-152337,15.851126891330175,0.0007280487916432321,0.00451561389490962,0,0.0,0,0
rec_0a682829bb553210,session6/Camera-2024-07-24-103011-103000,29.0119605561675,0.0004718717245850712,0.013317477889358997,0,0.448,0,0
rec_0b71cd5f91ce2154,session6/Camera-2024-07-11-103159-103100,37.86580936349756,0.00024258700432255864,0.018973959609866142,0,0.288,0,0
rec_10924166544cd6f1,session6/Camera-2024-10-15-094459-094548,55.88407071825094,2.00618123926688e-05,0.01249032374471426,0,0.0,0,0
rec_10f22881338d770b,session6/Camera-2024-07-29-143941-143856,28.27984588401882,0.0002278200990986079,0.005909957457333803,0,0.0,0,0
rec_12a0511149132322,session6/Camera-2024-06-26-105024-105025,33.52539401745811,0.0002039380051428452,0.009677603840827942,0,0.0,0,0
rec_1341aa66f6ae74e9,session6/Camera-2024-06-21-103121-103102,28.94137506005054,0.0004919167840853333,0.01377083733677864,0,0.0,0,0
rec_13fa49a3a9a93b41,session6/Camera-2024-07-30-161637-161715,23.435645238737536,0.00044443566002883017,0.006600717548280954,0,0.48,0,0
rec_154f379ed23877a3,session6/Camera-2024-10-22-165256-165322,49.77704332931846,4.755867848871276e-05,0.014658245258033276,0,0.0,0,0
rec_1d8213e9722a528b,session6/Camera-2024-07-09-151245-151110,30.364030919009934,0.0001609717437531799,0.0053082481026649475,0,0.0,0,0
rec_1e8df102f05e77e1,session6/Camera-2024-07-26-103222-103252,24.652503352231726,0.0005499368417076766,0.009395891800522804,0.6119999999999948,0.612,0,0
rec_1ed0b52e52629547,session6/Camera-2024-07-22-132508-132549,36.13074541972545,0.0001564119738759473,0.01001860573887825,0,0.0,0,0
rec_20400ee59a922213,session6/Camera-2024-10-14-135007-134930,36.64616124489393,0.00011849387374240905,0.008053857833147049,0,0.0,0,0
rec_20eb1d57e097da89,session6/Camera-2024-07-09-142938-142853,43.46054508275024,7.298797572730109e-05,0.010871226899325848,0,0.0,0,0
rec_22609b1aec92a3c7,session6/Camera-2024-07-09-111741-111806,37.97561979746278,0.00013049624976702034,0.01033663097769022,0,0.0,0,0
rec_23c8de02173ead3c,session6/Camera-2024-06-28-153101-153104,55.05621701508644,3.797885437961668e-05,0.0214957557618618,0,0.0,0,0
rec_26207ae962d7056d,session6/Camera-2024-07-11-154330-154400,50.12803611964642,5.925942605244927e-05,0.01901775412261486,0,0.0,0,0
rec_28f268dfc611e9b5,session6/Camera-2024-10-21-125749-125756,30.475152557891686,0.00019817119755316526,0.006619088351726532,0,0.0,0,0
rec_2c2694c3b4c00104,session6/Camera-2024-07-22-093331-093420,22.1477716281046,0.00037663744296878576,0.004822942428290844,0,0.0,0,0
rec_2cb4279fdfb150dd,session6/Camera-2024-07-11-111326-111141,42.29551278600856,6.356135418172926e-05,0.008278826251626015,0,0.0,0,0
rec_2eb5b223f38706c1,session6/Camera-2024-10-22-103728-103815,34.655021136507074,9.160127956420183e-05,0.004950540605932474,0,0.0,0,0
rec_2f26fe8686424294,session6/Camera-2024-07-11-094209-094215,23.860260065944267,0.00022374381660483778,0.0034895066637545824,0,0.0,0,0
rec_3056a774f4a72ef3,session6/Camera-2024-07-26-120608-120642,41.076816928366064,0.00011399072536733001,0.01290358416736126,0,0.0,0,0
rec_35af400b44d53ac4,session7/Camera-2024-10-23-134159-134313,48.42583065884881,0.00011862740939250216,0.03129512071609497,0,0.0,0,0
rec_386630c938e80d21,session6/Camera-2024-07-10-154722-154626,51.07593784287601,0.00013969250721856952,0.05000000074505806,0,0.0,0,0
rec_3a59a987e6ed33dd,session6/Camera-2024-10-22-115558-115626,45.002709831245426,8.538999827578664e-05,0.015189466066658497,0,0.0,0,0
