path,split,directory_role,directory_session,filename_identifier,recording_id,interaction_id,speaker_id,listener_id,use
data/val/facial-attributes/speaker/session0/Camera-2024-10-17-143648-143743.npy,val,speaker,session0,Camera-2024-10-17-143648-143743,unknown authoritative mapping,unknown,unknown,unknown,development source
data/val/facial-attributes/listener/session0/Camera-2024-10-17-143648-143743.npy,val,listener,session0,Camera-2024-10-17-143648-143743,unknown authoritative mapping,unknown,unknown,unknown,development target
data/val/facial-attributes/listener/session0/Camera-2024-07-15-110902-110933.npy,val,listener,session0,Camera-2024-07-15-110902-110933,unknown authoritative mapping,unknown,unknown,unknown,development target
data/val/facial-attributes/listener/session0/Camera-2024-10-21-153924-153959.npy,val,listener,session0,Camera-2024-10-21-153924-153959,unknown authoritative mapping,unknown,unknown,unknown,development target
data/val/facial-attributes/listener/session0/Camera-2024-07-15-123346-123414.npy,val,listener,session0,Camera-2024-07-15-123346-123414,unknown authoritative mapping,unknown,unknown,unknown,development target
data/val/facial-attributes/listener/session0/Camera-2024-10-18-140432-140500.npy,val,listener,session0,Camera-2024-10-18-140432-140500,unknown authoritative mapping,unknown,unknown,unknown,development target
data/val/facial-attributes/listener/session0/Camera-2024-10-17-151556-151626.npy,val,listener,session0,Camera-2024-10-17-151556-151626,unknown authoritative mapping,unknown,unknown,unknown,development target
data/val/facial-attributes/listener/session0/Camera-2024-10-21-135251-135252.npy,val,listener,session0,Camera-2024-10-21-135251-135252,unknown authoritative mapping,unknown,unknown,unknown,development target
data/val/facial-attributes/listener/session0/Camera-2024-10-17-161111-161220.npy,val,listener,session0,Camera-2024-10-17-161111-161220,unknown authoritative mapping,unknown,unknown,unknown,development target
data/val/facial-attributes/listener/session0/Camera-2024-10-21-162915-162924.npy,val,listener,session0,Camera-2024-10-21-162915-162924,unknown authoritative mapping,unknown,unknown,unknown,development target
data/val/facial-attributes/listener/session0/Camera-2024-10-18-154049-154118.npy,val,listener,session0,Camera-2024-10-18-154049-154118,unknown authoritative mapping,unknown,unknown,unknown,development target
data/val/facial-attributes/speaker/session0/Camera-2024-10-21-144916-144926.npy,val,speaker,session0,Camera-2024-10-21-144916-144926,unknown authoritative mapping,unknown,unknown,unknown,development source
data/val/facial-attributes/listener/session0/Camera-2024-10-21-144916-144926.npy,val,listener,session0,Camera-2024-10-21-144916-144926,unknown authoritative mapping,unknown,unknown,unknown,development target
data/val/facial-attributes/listener/session0/Camera-2024-07-15-110902-110933.npy,val,listener,session0,Camera-2024-07-15-110902-110933,unknown authoritative mapping,unknown,unknown,unknown,development target
data/val/facial-attributes/listener/session0/Camera-2024-10-18-140432-140500.npy,val,listener,session0,Camera-2024-10-18-140432-140500,unknown authoritative mapping,unknown,unknown,unknown,development target
data/val/facial-attributes/listener/session0/Camera-2024-10-17-143648-143743.npy,val,listener,session0,Camera-2024-10-17-143648-143743,unknown authoritative mapping,unknown,unknown,unknown,development target
data/val/facial-attributes/listener/session0/Camera-2024-10-18-144417-144442.npy,val,listener,session0,Camera-2024-10-18-144417-144442,unknown authoritative mapping,unknown,unknown,unknown,development target
data/val/facial-attributes/listener/session0/Camera-2024-10-18-162224-162332.npy,val,listener,session0,Camera-2024-10-18-162224-162332,unknown authoritative mapping,unknown,unknown,unknown,development target
data/val/facial-attributes/listener/session0/Camera-2024-10-21-162915-162924.npy,val,listener,session0,Camera-2024-10-21-162915-162924,unknown authoritative mapping,unknown,unknown,unknown,development target
data/val/facial-attributes/listener/session0/Camera-2024-10-17-151556-151626.npy,val,listener,session0,Camera-2024-10-17-151556-151626,unknown authoritative mapping,unknown,unknown,unknown,development target
data/val/facial-attributes/listener/session0/Camera-2024-10-21-153924-153959.npy,val,listener,session0,Camera-2024-10-21-153924-153959,unknown authoritative mapping,unknown,unknown,unknown,development target
data/val/facial-attributes/listener/session0/Camera-2024-07-15-123346-123414.npy,val,listener,session0,Camera-2024-07-15-123346-123414,unknown authoritative mapping,unknown,unknown,unknown,development target
data/val/facial-attributes/speaker/session0/Camera-2024-10-18-154049-154118.npy,val,speaker,session0,Camera-2024-10-18-154049-154118,unknown authoritative mapping,unknown,unknown,unknown,development source
data/val/facial-attributes/listener/session0/Camera-2024-10-18-154049-154118.npy,val,listener,session0,Camera-2024-10-18-154049-154118,unknown authoritative mapping,unknown,unknown,unknown,development target
data/val/facial-attributes/listener/session0/Camera-2024-10-17-143648-143743.npy,val,listener,session0,Camera-2024-10-17-143648-143743,unknown authoritative mapping,unknown,unknown,unknown,development target
data/val/facial-attributes/listener/session0/Camera-2024-10-17-151556-151626.npy,val,listener,session0,Camera-2024-10-17-151556-151626,unknown authoritative mapping,unknown,unknown,unknown,development target
data/val/facial-attributes/listener/session0/Camera-2024-07-15-123346-123414.npy,val,listener,session0,Camera-2024-07-15-123346-123414,unknown authoritative mapping,unknown,unknown,unknown,development target
